SlotID,EntityID,Capacity,Note
thu18-arrival,travel-arrival,confirmed,Land JFK/LGA/EWR then East Williamsburg. Late bite: bodega/pizza/ramen. If delayed just sleep.
fri19-met,museum-met-fifth-avenue,confirmed,Costume Art exhibition (Conde Nast Galleries). Lunch: Central Park picnic or Cocina Consuelo.
fri19-seneca,event-seneca-village-juneteenth,planned,Free outdoor performance 82nd-89th CPW. Optional 20-min stop.
fri19-studio,museum-studio-museum-in-harlem,confirmed,New David Adjaye building. Hammons/Ligon. Juneteenth hours 11-8.
fri19-studio,museum-moma,planB,If Harlem too far - MoMA 53rd & 5th.
fri19-dinner,food-deans,confirmed,DINNER LOCKED. Oysters/langoustines/Guinness. Resy or walk-in bar.
fri19-dinner,food-la-cantine,planB,Fallback if Dean's full - Bushwick, light.
fri19-nap,admin-pre-fist-nap-window,confirmed,Train home Bushwick, rest before techno marathon.
fri19-fist,party-fist,confirmed,FIST 10-Year @ Basement. DJ T-1000/Word of Command/Sevyn 0000/DJ Clone. URGENT.
sat20-brunch,food-win-son-bakery,confirmed,Scallion pancake sandos, mochi donuts. Walk from Airbnb.
sat20-brunch,food-kelloggs-diner,planB,Revived classic diner.
sat20-brunch,food-frankels-delicatessen,planB,Pastrami egg & cheese.
sat20-parade,event-mermaid-parade,confirmed,Surf Ave to boardwalk to Steeplechase. Bites: Nathan's/Ruby's/Totonno's.
sat20-banya,spa-mermaid-spa,confirmed,Banya saunas + cold plunge then dinner in robes (Mermaid Spa restaurant).
sat20-banya,spa-russian-and-turkish-baths,planB,Closer-to-home alt (268 E 10th St); skip Sea Gate.
sat20-comedy,show-bushwick-comedy-club,planned,Partner pick (MOS). 259 Melrose St.
sat20-comedy,show-bcc-eris-bar,planB,BCC at Eris Bar alt.
sat20-bong,food-bong,confirmed,Late dinner.
sun21-crossfit,admin-crossfit,planB,Partner maybe (MOS). Morning workout.
sun21-newmuseum,museum-new-museum,confirmed,New Humans exhibition (200+ artists). Breakfast: Marlow/Bagel Hole/Devocion.
sun21-brunch,food-russ-and-daughters-cafe,confirmed,BRUNCH LOCKED. Last seating 3:30pm Sun - arrive 1:30 latest.
sun21-brunch,food-cervos,planB,If running late - LES, no timing pressure.
sun21-brunch,food-mam,planB,LES alt.
sun21-mistersunday,party-mister-sunday-soul-summit,confirmed,Soul Summit takeover @ Nowadays. Solstice peak. Late bites Houdini/Nowadays/Bunker.
mon22-rental,travel-rental-car-pickup,confirmed,Pick up midsize SUV Brooklyn. Drive Rte 9W.
mon22-coffee,food-cornwall-coffee-co,confirmed,Coffee + pastry New Windsor, eat in car.
mon22-stormking,museum-storm-king-art-center,confirmed,500 acres - Calder/Serra/Maya Lin. Lunch at Storm King cafe.
mon22-lunch,food-downstate-newburgh,planned,Quick lunch en route.
mon22-sktrail,hike-storm-king-mountain,planned,2.4mi loop - skip if want more time at Art Center.
mon22-dia,museum-dia-beacon,planned,Optional Beacon stop.
mon22-kaaterskill,hike-kaaterskill-falls,planned,Drive north via Catskills; 1.8mi roundtrip. Skip if running late.
mon22-debs,food-lil-debs-oasis,confirmed,DINNER LOCKED. Tropical comfort, queer-owned. Open Mon 5-9pm.
tue23-greylock,hike-mount-greylock,confirmed,8.8mi 2539ft. Breakfast Brewhaha; packed lunch Tunnel City.
tue23-clark,museum-clark-art-institute,planned,Renoir/Sargent/Tavitian Collection. Skip if too tired.
tue23-dinner,food-blue-mango,confirmed,Thai-Japanese, reliable post-hike.
tue23-dinner,food-state-food-and-drink,planB,Vietnamese Tuesdays - check calendar.
tue23-dinner,food-mission-bar-and-tapas,planB,Queer-owned small plates, North Adams.
wed24-hike,hike-cascade-falls,planned,Cascade Falls loop (4mi) or Money Brook Falls.
